 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 …CoveringHeuristics.jl   175 chooseNextPole(graphState::Dict{S…
     1         0 @Base\int.jl            1068 *
     1         0 @Base\intfuncs.jl        768 append_c_digits(olength::Int64, d…
     1         0 @Base\set.jl             137 setdiff!(s::Set{Int64}, t::Set{In…
     1         1 …CoveringHeuristics.jl   665 ignoreMeter!(graphState::Dict{Sym…
     1         1 @Base\dict.jl            655 _delete!(h::Dict{Int64, Nothing},…
     1         0 @Base\task.jl            735 popfirst!(W::Base.IntrusiveLinked…
     1         0 …CoveringHeuristics.jl   647 preprocess2!(graphState::Dict{Sym…
     1         0 @Base\iddict.jl           92 setindex!(d::IdDict{Any, Any}, va…
     1         1 @Base\iddict.jl           72 rehash!
     1         0 …4\src\GLib\signals.jl   267 g_yield(data::UInt64)
     1         0 …tk4\src\GLib\gtype.jl   386 run_delayed_finalizers()
     1         1 @Base\lock.jl            266 macro expansion
     1         1 @Base\strings\io.jl      137 print_to_string(::String, ::Varar…
     1         1 @Base\task.jl            736 popfirst!(W::Base.IntrusiveLinked…
     1         1 @Base\task.jl           1005 wait()
     1         0 @Base\intfuncs.jl        555 bit_ndigits0z
     1         0 @Base\array.jl          2724 filter!(f::Base.Fix2{typeof(in), …
     1         0 @Base\array.jl          1320 resize!
     1         1 @Base\array.jl          1081 _deleteend!
     1         0 …CoveringHeuristics.jl   873 discardPole!(graphState::Dict{Sym…
     1         1 @Base\task.jl            779 enq_work(t::Task)
     1         1 @Base\iobuffer.jl        106 IOBuffer(; read::Bool, write::Boo…
     1         0 @Base\array.jl          2725 filter!(f::Base.Fix2{typeof(in), …
     1         1 @Base\array.jl          1351 sizehint!
     1         0 @Base\iobuffer.jl         84 GenericIOBuffer
     1         0 @Base\iobuffer.jl         99 #IOBuffer#468
     1         0 @Base\iobuffer.jl         28 GenericIOBuffer
     1         1 @Base\iobuffer.jl         21 GenericIOBuffer
     1         1 …CoveringHeuristics.jl   575 preprocess2!(graphState::Dict{Sym…
     1         0 @Base\task.jl            709 push!(W::Base.IntrusiveLinkedList…
     1         1 @Base\int.jl              86 -(x::Int64, y::Int64)
     1         0 …CoveringHeuristics.jl   893 discardPole!(graphState::Dict{Sym…
     1         0 @Base\task.jl            713 push!(W::Base.IntrusiveLinkedList…
     1         0 @Base\locks-mt.jl         65 unlock
     1         1 @Base\int.jl              87 +(x::Int64, y::Int64)
